open_time,open_price,high_price,low_price,close_price,volume,close_time,number_of_trades
2022-09-17 19:00:00,20102.00,20105.30,19325.80,19404.50,499916.474,2022-09-18 18:59:59,2840410
2022-09-18 19:00:00,19404.50,19686.30,18215.00,19528.60,993776.352,2022-09-19 18:59:59,5806574
2022-09-19 19:00:00,19528.60,19625.00,18690.10,18866.80,794623.932,2022-09-20 18:59:59,4564101
2022-09-20 19:00:00,18866.70,20154.10,18084.30,18447.50,1168068.979,2022-09-21 18:59:59,7384253
2022-09-21 19:00:00,18447.50,19504.80,18345.20,19392.50,852898.391,2022-09-22 18:59:59,5135005
2022-09-22 19:00:00,19392.50,19492.00,18518.50,19280.70,838493.746,2022-09-23 18:59:59,4776176
2022-09-23 19:00:00,19280.70,19304.50,18798.00,18911.00,377158.215,2022-09-24 18:59:59,2453806
2022-09-24 19:00:00,18910.90,19196.00,18621.00,18799.70,410461.603,2022-09-25 18:59:59,2538628
2022-09-25 19:00:00,18799.70,19311.50,18671.00,19216.30,777807.518,2022-09-26 18:59:59,4660592
2022-09-26 19:00:00,19216.30,20375.00,18801.50,19070.10,1300566.158,2022-09-27 18:59:59,7464455
2022-09-27 19:00:00,19070.10,19787.60,18460.00,19407.30,1141222.772,2022-09-28 18:59:59,6549142
2022-09-28 19:00:00,19407.40,19648.80,18827.20,19582.50,991678.224,2022-09-29 18:59:59,5608316
2022-09-29 19:00:00,19582.50,20172.70,19066.00,19411.70,1071462.934,2022-09-30 18:59:59,5922595
2022-09-30 19:00:00,19411.60,19474.00,19140.00,19304.00,294457.009,2022-10-01 18:59:59,1939854
2022-10-01 19:00:00,19304.00,19389.00,18896.00,19049.40,414970.451,2022-10-02 18:59:59,2498575
2022-10-02 19:00:00,19049.30,19723.70,18950.80,19622.00,621816.329,2022-10-03 18:59:59,3795723
2022-10-03 19:00:00,19621.90,20500.00,19480.10,20333.00,796678.762,2022-10-04 18:59:59,4715325
2022-10-04 19:00:00,20332.90,20356.10,19707.00,20150.00,719577.149,2022-10-05 18:59:59,4213991
2022-10-05 19:00:00,20149.90,20443.90,19843.30,19954.00,782034.669,2022-10-06 18:59:59,4650712
2022-10-06 19:00:00,19954.00,20067.00,19304.40,19520.90,673407.102,2022-10-07 18:59:59,4051050
2022-10-07 19:00:00,19520.90,19619.60,19200.00,19406.20,253257.201,2022-10-08 18:59:59,1749051
2022-10-08 19:00:00,19406.30,19550.00,19310.00,19430.00,267178.795,2022-10-09 18:59:59,1739249
2022-10-09 19:00:00,19430.00,19513.00,19000.00,19124.00,560920.904,2022-10-10 18:59:59,3300957
2022-10-10 19:00:00,19124.10,19260.00,18850.00,19055.00,603358.324,2022-10-11 18:59:59,3341536
2022-10-11 19:00:00,19055.00,19240.00,18924.30,19148.00,406770.288,2022-10-12 18:59:59,2465034
2022-10-12 19:00:00,19148.10,19498.60,17917.80,19365.50,1104615.001,2022-10-13 18:59:59,5965822
2022-10-13 19:00:00,19365.40,19947.90,19059.60,19164.60,861453.210,2022-10-14 18:59:59,4735908
2022-10-14 19:00:00,19164.60,19218.80,18966.00,19060.40,241520.185,2022-10-15 18:59:59,1540108
2022-10-15 19:00:00,19060.40,19415.90,19058.00,19251.90,267921.192,2022-10-16 18:59:59,1691004
2022-10-16 19:00:00,19251.80,19666.00,19148.00,19516.70,370127.029,2022-10-17 18:59:59,2041941
